"","actor_id","target_case","case","case_code","ascribed_power_norm","ascribed_power","bet","bet_norm","triangle_count_pos_norm","triangle_count_norm","triangle_count","triangle_count_pos","ego_inclusion","deg","deg_pos","deg_norm","type","type_reduced","all_na","achievement","top_target","bet_log","triangle_count_log","deg_log","ascribed_power_log","bet_zero","triangle_count_zero","ascribed_power_zero"
"328","actor 328","Biodiversitat_NE","Neuenburgersee","NE",62.875,15,150.050744240359,13.4262372709618,50.5,51.5,101,61,4,61,61,50.5,"Canton_VD","higher_admin","no",2,"Biodiversitat",2.59721079785867,3.94158180766969,4.11087386417331,4.1411486284199,"abovezero","abovezero","abovezero"
"329","actor 329","Biodiversitat_NE","Neuenburgersee","NE",54.625,13,1.51904761904762,1.12579775085913,34.2704918032787,32.5,63,41,3,41,41,34.2704918032787,"Canton_VD","higher_admin","no",3,"Biodiversitat",0.118491896230131,3.48124008933569,3.71357206670431,4.00049165341575,"abovezero","abovezero","abovezero"
"330","actor 330","Biodiversitat_NE","Neuenburgersee","NE",50.5,12,1.51904761904762,1.12579775085913,43.1967213114754,45.5,89,52,3,52,52,43.1967213114754,"NGO_organization_association","NGO_organization_association","no",2,"Biodiversitat",0.118491896230131,3.8177123259569,3.95124371858143,3.92197333628131,"abovezero","abovezero","abovezero"
"331","actor 331","Erholungswert_NE","Neuenburgersee","NE",42.25,10,20.1954617278147,2.67245821070013,8.30327868852459,6.5,11,9,2,9,9,8.30327868852459,"Municipality","Municipality","no",3,"Erholungswert",0.982998727012816,1.87180217690159,2.19722457733622,3.74360435380318,"abovezero","abovezero","abovezero"
"332","actor 332","Biodiversitat_NE","Neuenburgersee","NE",58.75,14,12.3887080735357,2.02595309861201,12.3606557377049,29,56,14,3,14,14,12.3606557377049,"Canton_VD","higher_admin","no",2,"Biodiversitat",0.70604025581125,3.36729582998647,2.63905732961526,4.07329115302427,"abovezero","abovezero","abovezero"
"333","actor 333","Biodiversitat_NE","Neuenburgersee","NE",50.5,12,74.7448643948644,7.18988879034584,6.68032786885246,14.5,27,7,NA,7,7,6.68032786885246,"Canton_VD","higher_admin","yes",NA,"Biodiversitat",1.97267570434572,2.67414864942653,1.94591014905531,3.92197333628131,"abovezero","abovezero","abovezero"
"334","actor 334","Biodiversitat_NE","Neuenburgersee","NE",42.25,10,11.4054556554557,1.94452645920303,1.81147540983607,13,24,1,2,1,1,1.81147540983607,"NGO_organization_association","NGO_organization_association","no",3,"Biodiversitat",0.665018481722438,2.56494935746154,0,3.74360435380318,"abovezero","abovezero","abovezero"
"335","actor 335","Biodiversitat_NE","Neuenburgersee","NE",46.375,11,2.88044581817401,1.23853999101427,26.155737704918,24,46,31,3,31,31,26.155737704918,"Municipality","Municipality","no",2,"Biodiversitat",0.213933259304268,3.17805383034795,3.43398720448515,3.8367605209276,"abovezero","abovezero","abovezero"
"336","actor 336","Biodiversitat_NE","Neuenburgersee","NE",1,0,11.4054556554557,1.94452645920303,1,7,12,0,NA,0,0,1,"NGO_organization_association","NGO_organization_association","no",2,"Biodiversitat",0.665018481722438,1.94591014905531,-Inf,0,"abovezero","abovezero","zero"
"337","actor 337","Biodiversitat_NE","Neuenburgersee","NE",25.75,6,12.1682761682762,2.00769834638994,13.983606557377,28.5,55,16,2,16,16,13.983606557377,"Other","Other","yes",2,"Biodiversitat",0.696988964643017,3.3499040872746,2.77258872223978,3.24843462710975,"abovezero","abovezero","abovezero"
"338","actor 338","Biodiversitat_NE","Neuenburgersee","NE",25.75,6,1.08571428571429,1.0899118720874,1.81147540983607,10.5,19,1,3,1,1,1.81147540983607,"Municipality","Municipality","yes",3,"Biodiversitat",0.086096841676448,2.35137525716348,0,3.24843462710975,"abovezero","abovezero","abovezero"
"339","actor 339","Biodiversitat_NE","Neuenburgersee","NE",42.25,10,956.538204770963,80.2143401313888,8.30327868852459,14.5,27,9,4,9,9,8.30327868852459,"NGO_organization_association","NGO_organization_association","no",3,"Biodiversitat",4.38470230351961,2.67414864942653,2.19722457733622,3.74360435380318,"abovezero","abovezero","abovezero"
